,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
反应式路由协议,0,0,0,3,0,0,0,3,0.375
aodv,0,0,0,2,9,2,0,13,2.908333333333333
静态路由协议,0,0,0,2,0,0,0,2,0.25
状态,0,0,0,2,0,0,0,2,0.25
vanet,0,0,0,2,0,0,0,2,0.25
manet,0,0,0,2,0,0,0,2,0.25
gpsr,0,0,0,1,0,0,0,1,0.125
greedyperimeterstatelessrouting,0,0,0,1,0,0,0,1,0.125
贪婪周边无状态路由,0,0,0,1,0,0,0,1,0.125
energyawarerout,0,0,0,1,0,0,0,1,0.125
geographical,0,0,0,1,0,0,0,1,0.125
地理路由,0,0,0,1,0,0,0,1,0.125
路由策略,0,0,0,1,0,0,0,1,0.125
地理位置信息,0,0,0,1,0,0,0,1,0.125
发送,0,0,0,1,0,1,0,2,0.3666666666666667
先验式路由协议,0,0,0,1,0,0,0,1,0.125
larp,0,0,0,1,0,0,0,1,0.125
toco,0,0,0,1,0,0,0,1,0.125
locationaidedrouting,0,0,0,1,0,0,0,1,0.125
位置辅助路由协议,0,0,0,1,0,0,0,1,0.125
中心节点,0,0,0,1,0,0,0,1,0.125
节点数,0,0,0,1,0,4,0,5,1.0916666666666668
半径,0,0,0,1,0,0,0,1,0.125
zoneroutingprotocol,0,0,0,1,0,0,0,1,0.125
区域路由协议,0,0,0,1,0,0,0,1,0.125
混合型路由协议,0,0,0,1,0,0,0,1,0.125
dynamicsourcerouting,0,0,0,1,0,0,0,1,0.125
动态源路由,0,0,0,1,0,0,0,1,0.125
demanddistancevector,0,0,0,1,0,0,0,1,0.125
adhocon-,0,0,0,1,0,0,0,1,0.125
按需距离矢量路由协议,0,0,0,1,0,0,0,1,0.125
随选型路由协议,0,0,0,1,0,0,0,1,0.125
被动路由协议,0,0,0,1,0,0,0,1,0.125
to,0,0,0,1,1,0,0,2,0.3666666666666667
vectorrouting,0,0,0,1,0,0,0,1,0.125
istance,0,0,0,1,0,0,0,1,0.125
sequence,0,0,0,1,0,0,0,1,0.125
destination-,0,0,0,1,0,0,0,1,0.125
距离矢量路由协议,0,0,0,1,0,0,0,1,0.125
optimizedlinkstaterouting,0,0,0,1,0,0,0,1,0.125
最优链路状态路由,0,0,0,1,0,0,0,1,0.125
控制数据,0,0,0,1,0,0,0,1,0.125
主动式路由协议,0,0,0,1,0,0,0,1,0.125
ad,0,0,0,1,0,1,0,2,0.3666666666666667
deliverrouting,0,0,0,1,0,0,0,1,0.125
loadcarry,0,0,0,1,0,0,0,1,0.125
传递路由,0,0,0,1,0,0,0,1,0.125
负载携带,0,0,0,1,0,0,0,1,0.125
datacentricrouting,0,0,0,1,0,0,0,1,0.125
数据中心路由,0,0,0,1,0,0,0,1,0.125
无人机数据,0,0,0,1,0,0,0,1,0.125
异步,0,0,0,1,0,0,0,1,0.125
数量,0,0,0,1,0,0,0,1,0.125
ns-2,0,0,0,0,9,0,0,9,2.175
ns,0,0,0,0,11,1,0,12,2.9
代码,0,0,0,0,9,2,0,11,2.658333333333333
模拟器,0,0,0,0,4,0,0,4,0.9666666666666667
nsnam,0,0,0,0,4,0,0,4,0.9666666666666667
ns-,0,0,0,0,5,0,0,5,1.2083333333333333
仿真器,0,0,0,0,2,0,0,2,0.48333333333333334
模块,0,0,0,0,8,2,0,10,2.4166666666666665
ns-3模拟器,0,0,0,0,2,0,0,2,0.48333333333333334
核心开发,0,0,0,0,1,0,0,1,0.24166666666666667
ns-3-dev,0,0,0,0,1,0,0,1,0.24166666666666667
qsnam,0,0,0,0,1,0,0,1,0.24166666666666667
源代码,0,0,0,0,3,0,0,3,0.725
故障,0,0,0,0,1,0,0,1,0.24166666666666667
系统架构,0,0,0,0,1,0,0,1,0.24166666666666667
ns-3系统,0,0,0,0,1,0,0,1,0.24166666666666667
ns-3节点,0,0,0,0,1,0,0,1,0.24166666666666667
堆栈,0,0,0,0,1,0,0,1,0.24166666666666667
linux网络,0,0,0,0,1,0,0,1,0.24166666666666667
dce,0,0,0,0,1,0,0,1,0.24166666666666667
直接代码执行,0,0,0,0,1,0,0,1,0.24166666666666667
宽频谱高精度模型,0,0,0,0,1,0,0,1,0.24166666666666667
wifi模型,0,0,0,0,1,0,0,1,0.24166666666666667
lte,0,0,0,0,1,0,0,1,0.24166666666666667
网络模块,0,0,0,0,2,0,0,2,0.48333333333333334
抽象层级,0,0,0,0,1,0,0,1,0.24166666666666667
代码执行环境,0,0,0,0,1,0,0,1,0.24166666666666667
主代码树,0,0,0,0,1,0,0,1,0.24166666666666667
用户邮件列表,0,0,0,0,1,0,0,1,0.24166666666666667
主动维护,0,0,0,0,1,0,0,1,0.24166666666666667
c++,0,0,0,0,1,0,0,1,0.24166666666666667
跟踪文件,0,0,0,0,1,0,0,1,0.24166666666666667
pcap数据包,0,0,0,0,1,0,0,1,0.24166666666666667
可视化器,0,0,0,0,1,0,0,1,0.24166666666666667
动画器,0,0,0,0,1,0,0,1,0.24166666666666667
模拟脚本,0,0,0,0,1,0,0,1,0.24166666666666667
python绑定,0,0,0,0,1,0,0,1,0.24166666666666667
程序,0,0,0,0,5,1,0,6,1.45
otcl,0,0,0,0,1,0,0,1,0.24166666666666667
可视化,0,0,0,0,1,0,0,1,0.24166666666666667
networkanimatornam,0,0,0,0,1,0,0,1,0.24166666666666667
模拟结,0,0,0,0,1,0,0,1,0.24166666666666667
脚本语言,0,0,0,0,1,0,0,1,0.24166666666666667
软件产品,0,0,0,0,1,0,0,1,0.24166666666666667
windowsvisualstudio,0,0,0,0,1,0,0,1,0.24166666666666667
freebsd,0,0,0,0,1,0,0,1,0.24166666666666667
工作效率,0,0,0,0,1,0,0,1,0.24166666666666667
软件开发工具,0,0,0,0,1,0,0,1,0.24166666666666667
ns-3仿真器,0,0,0,0,1,0,0,1,0.24166666666666667
可视化工具,0,0,0,0,1,0,0,1,0.24166666666666667
数据分析,0,0,0,0,1,0,0,1,0.24166666666666667
外部动画设备,0,0,0,0,1,0,0,1,0.24166666666666667
图形用户界面,0,0,0,0,1,0,0,1,0.24166666666666667
